,,,,,,,,,,,
,,,,,,,,,,,
,Nomor,Operasi,Volume,Jumlah client worker pool,Jumlah server worker pool,Waktu total per client (s),Throughput,Jumlah worker client yang sukses,Jumlah worker client yang gagal,Jumlah Worker Server Sukses,Jumlah Worker Server Gagal
,1,upload,10MB,1,1,0.21,89.93,1,0,1,0
,2,upload,10MB,5,1,0.43,33.87,5,0,1,0
,3,upload,10MB,50,1,2.33,4.57,50,0,1,0
,4,upload,50MB,1,1,0.51,111.92,1,0,1,0
,5,upload,50MB,5,1,0.92,62.32,5,0,1,0
,6,upload,50MB,50,1,09.05,5.61,50,0,1,0
,7,upload,100MB,1,1,0.82,138.24,1,0,1,0
,8,upload,100MB,5,1,1.52,68.36,5,0,1,0
,9,upload,100MB,50,1,18.68,5.41,50,0,1,0
,10,download,10MB,1,1,0.10,23.14,1,0,1,0
,11,download,10MB,5,1,0.17,21.49,5,0,1,0
,12,download,10MB,50,1,0.60,2.79,50,0,1,0
,13,download,50MB,1,1,0.12,35.05,1,0,1,0
,14,download,50MB,5,1,0.17,18.94,5,0,1,0
,15,download,50MB,50,1,0.58,2.80,50,0,1,0
,16,download,100MB,1,1,0.11,47.46,1,0,1,0
,17,download,100MB,5,1,0.14,19.73,5,0,1,0
,18,download,100MB,50,1,0.66,2.53,50,0,1,0
,19,upload,10MB,1,5,0.16,93.18,1,0,5,0
,20,upload,10MB,5,5,0.33,51.14,5,0,5,0
,21,upload,10MB,50,5,2.37,5.27,50,0,5,0
,22,upload,50MB,1,5,0.54,108.82,1,0,5,0
,23,upload,50MB,5,5,1.15,45.53,5,0,5,0
,24,upload,50MB,50,5,12.39,4.12,50,0,5,0
,25,upload,100MB,1,5,0.73,157.68,1,0,5,0
,26,upload,100MB,5,5,2.28,44.91,5,0,5,0
,27,upload,100MB,50,5,28.08,3.59,50,0,5,0
,28,download,10MB,1,5,0.15,38.48,1,0,5,0
,29,download,10MB,5,5,0.12,18.21,5,0,5,0
,30,download,10MB,50,5,0.52,2.79,50,0,5,0
,31,download,50MB,1,5,0.14,44.01,1,0,5,0
,32,download,50MB,5,5,0.19,20.48,5,0,5,0
,33,download,50MB,50,5,0.58,2.70,50,0,5,0
,34,download,100MB,1,5,0.16,41.93,1,0,5,0
,35,download,100MB,5,5,0.22,11.80,5,0,5,0
,36,download,100MB,50,5,0.57,2.53,50,0,5,0
,37,upload,10MB,1,50,0.22,69.43,1,0,50,0
,38,upload,10MB,5,50,0.34,47.54,5,0,50,0
,39,upload,10MB,50,50,3.38,3.44,50,0,50,0
,40,upload,50MB,1,50,0.43,157.39,1,0,50,0
,41,upload,50MB,5,50,01.07,48.16,5,0,50,0
,42,upload,50MB,50,50,21.24,2.80,50,0,50,0
,43,upload,100MB,1,50,0.83,125.24,1,0,50,0
,44,upload,100MB,5,50,3.47,29.15,5,0,50,0
,45,upload,100MB,50,50,41.56,2.56,50,0,50,0
,46,download,10MB,1,50,0.32,05.06,1,0,50,0
,47,download,10MB,5,50,0.07,17.24,5,0,50,0
,48,download,10MB,50,50,0.64,1.95,50,0,50,0
,49,download,50MB,1,50,0.14,37.06,1,0,50,0
,50,download,50MB,5,50,0.17,19.28,5,0,50,0
,51,download,50MB,50,50,0.68,2.21,50,0,50,0
,52,download,100MB,1,50,0.14,31.73,1,0,50,0
,53,download,100MB,5,50,0.13,17.03,5,0,50,0
,54,download,100MB,50,50,0.60,2.34,50,0,50,0